ID,TypeID,MoveCategoryID,Name,JapaneseName,ChineseName,Description,ChineseDescription
1,2,2,Absorb,すいとる,吸收,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.,吸取对方的养分。攻击造成的一半伤害会转化成自己的HP。
2,15,2,Aerial Ace,つばめがえし,回转攻,"The user confounds the target with speed, then slashes.",以迅捷的速度玩弄对方后斩切，攻击必定会命中。
3,15,2,Air Cutter,エアカッター,破空斩,The user launches razor-like wind to slash the opposing Pokémon. Critical hits land more easily.,用锐利的风切割对方。容易击中要害。
4,15,2,Air Slash,エアスラッシュ,空气砍,The user attacks with a blade of air that slices even the sky.,制造空气之刃切裂对方。有时会使对方退缩。
5,14,2,Ancient Power,げんしのちから,原始之力,The user attacks with a prehistoric power.,用原始的力量攻击对方。有时会提升自身所有的能力。
6,18,2,Aqua Jet,アクアジェット,喷射水柱,The user lunges at the target at a speed that makes it almost invisible.,用眼睛无法跟上的速度接近对方攻击。必定能够先制攻击。
7,18,2,Aqua Tail,アクアテール,水柱尾,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,如狂暴的海浪般挥舞尾巴，强力攻击对方。
8,6,2,Blizzard,ふぶき,暴风雪,A howling blizzard is summoned to strike opposing Pokémon.,用暴风雪攻击对方，有时会使对方冰冻。
9,8,2,Body Slam,のしかかり,泰山压顶,The user drops onto the target with its full body weight.,用自己的身体，压住对方进行攻击。有时会使对方麻痹。
10,4,2,Bone Club,ホネこんぼう,骨棒,The user clubs the target with a bone.,用手中的骨头殴打对方。有时会使对方退缩。
11,11,2,Brick Break,かわらわり,劈瓦,The user attacks with a swift chop.,用手刀进行致命一击，可以击碎光墙和减半反射。
12,18,2,Brine,しおみず,盐水,"If the target's HP is half or less, this attack will hit with double the power.",当对方的HP低于一半时，我方招式威力翻倍。
13,18,2,Bubble Beam,バブルこうせん,泡沫光线,A spray of bubbles is forcefully ejected at the target.,喷射大量的泡沫攻击对方。有时会降低对方的速度。
14,1,2,Bug Buzz,むしのさざめき,虫鸣,The user vibrates its wings to generate a damaging sound wave.,用独特方式振动翅膀，发出声音攻击对方。有时会降低对方的特防。
15,4,2,Bulldoze,じならし,整地,The user strikes everything around it by stomping down on the ground.,用力踩踏地面，攻击全场。降低对方的速度。
16,11,2,Cross Chop,クロスチョップ,十字切,The user delivers a double chop with its forearms crossed. Critical hits land more easily.,交叉绞杀对方进行攻击。容易击中要害。
17,10,2,Cross Poison,クロスポイズン,十字毒药,A slashing attack with a poisonous blade that may also poison the target. Critical hits land more easily.,用毒刃将对方斩裂。有时会使对方中毒，且容易击中要害。
18,3,2,Dark Pulse,あくのはどう,恶波动,The user releases a horrible aura imbued with dark thoughts.,从体内放射出充满恶意的光环。有时会使对方退缩。
19,9,2,Dazzling Gleam,マジカルシャイン,魔法照耀,The user damages opposing Pokémon by emitting a powerful flash.,发射出充满力量的光芒攻击对方。
20,4,2,Dig,あなをほる,挖地洞,"The user burrows, then attacks on the next turn.",首回合钻入地下，下一回合攻击对方。可以用于脱离洞穴。
21,9,2,Disarming Voice,チャームボイス,魅力之音,"Letting out a charming cry, the user does emotional damage to opposing Pokémon.",发出迷人的声音，给予对方精神上的伤害。必定能命中目标。
22,7,2,Discharge,ほうでん,放电,The user strikes everything around it by letting loose a flare of electricity.,用猛烈的电流进行全体攻击。有时会使对方麻痹。
23,8,2,Double Slap,おうふくビンタ,连环巴掌,"The target is slapped repeatedly, back and forth, two to five times in a row.",用反复拍打的方式攻击，连续攻击对方2～5次。
24,5,2,Dragon Claw,ドラゴンクロー,龙爪,"The user slashes the target with huge, sharp claws.",用锐利的巨爪切裂对方攻击。
25,5,2,Dragon Pulse,りゅうのはどう,龙波动,The target is attacked with a shock wave generated by the user's gaping mouth.,从口中喷射出巨大的冲击波攻击对方。
26,9,2,Draining Kiss,ドレインキッス,吸取之吻,The user steals the target's energy with a kiss. The user's HP is restored by over half of the damage taken by the target.,用一个吻窃取对方的能量，伤害的75%回复自身HP。
27,15,2,Drill Peck,ドリルくちばし,冲钻,A corkscrewing attack with a sharp beak acting as a drill.,用旋转的尖喙刺击对方。
28,4,2,Drill Run,ドリルライナー,低空钻,The user crashes into its target while rotating its body like a drill. Critical hits land more easily.,像电钻一样旋转身体旋转身体攻击对方。容易击中要害。
29,4,2,Earthquake,じしん,地震,The user sets off an earthquake that strikes every Pokémon around it.,引发地震，攻击周围的所有对象。
30,13,2,Fire Blast,だいもんじ,大字爆,The target is attacked with an intense blast of all-consuming fire.,用爆成大字的火焰灼烧对方。有时会使对方灼伤。
31,13,2,Fire Punch,ほのおのパンチ,火焰拳,The target is punched with a fiery fist.,用附带着火焰的拳头攻击对方。有时会使对方灼伤。
32,13,2,Flame Burst,はじけるほのお,爆炸火焰,The user attacks the target with a bursting flame.,向对方发射击中后会爆裂的火焰。爆裂的火焰会飞溅到对方身旁的神奇宝贝上。
33,13,2,Flame Charge,ニトロチャージ,火焰袭击,"Cloaking itself in flame, the user attacks.",让身体缠绕火焰攻击对方。能够提升自身的速度。
34,13,2,Flame Wheel,かえんぐるま,火焰轮,The user cloaks itself in fire and charges at the target.,用火焰缠绕身体向对方进行突击。有时会使对方灼伤。
35,13,2,Flamethrower,かえんほうしゃ,喷射火焰,The target is scorched with an intense blast of fire.,用炙热火焰攻击对方。有时会使对方灼伤。
36,16,2,Flash Cannon,ラスターカノン,光泽电炮,The user gathers all its light energy and releases it at once.,收集身体的光芒聚集在一点释放出去。有时会降低对方的特防。
37,2,2,Giga Drain,ギガドレイン,超级吸收,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target..,吸取养分的攻击。伤害的一半转化成自己的HP。
38,10,2,Gunk Shot,ダストシュート,灰尘射击,The user shoots filthy garbage at the target to attack.,用超级脏的垃圾攻击对方。有时会使对方中毒。
39,8,2,Headbutt,ずつき,铁头功,The user sticks out its head and attacks by charging straight into the target.,冲向对方，用头进行攻击。有时会使对方退缩。
40,12,2,Heart Stamp,ハートスタンプ,爱心捣击,The user unleashes a vicious blow after its cute act makes the target less wary.,以可爱的样子迷惑对手，再给予对手致命一击。有时会使对方退缩。
41,13,2,Heat Wave,ねっぷう,热风,The user attacks by exhaling hot breath on the opposing Pokémon.,向对方吹出灼热的风进行攻击。有时会使对方灼伤。
42,8,2,Horn Attack,つのでつく,角撞,The target is jabbed with a sharply pointed horn to inflict damage.,用锋利的尖角攻击对方。
43,15,2,Hurricane,ぼうふう,暴风,The user attacks by wrapping its opponent in a fierce wind that flies up into the sky.,用强烈的风席卷对方。有时会使对方混乱。
44,18,2,Hydro Pump,ハイドロポンプ,水炮,The target is blasted by a huge volume of water launched under great pressure.,向对方喷射高压水柱进行攻击。
45,8,2,Hyper Beam,はかいこうせん,破坏死光,The target is attacked with a powerful beam.,放出强光攻击对方。下一回合无法行动。
46,8,2,Hyper Fang,ひっさつまえば,必杀门牙,The user bites hard on the target with its sharp front fangs.,用锐利的牙齿攻击对方，有时会使对方退缩。
47,6,2,Ice Beam,れいとうビーム,急冻光线,The target is struck with an icy-cold beam of energy.,用极冷的光束攻击对方。有时会使对方冰冻。
48,6,2,Ice Punch,れいとうパンチ,急冻拳,The target is punched with an icy fist.,用附带着冷气的拳头攻击对方。有时会使对方冰冻。
49,6,2,Icy Wind,こごえるかぜ,冻风,The user attacks with a gust of chilled air.,放出冷气攻击对方，降低对方的速度。
50,16,2,Iron Head,アイアンヘッド,铁头,The user slams the target with its steel-hard head.,用钢铁般坚硬的头部撞击对方。有时会使对方退缩。
51,2,2,Leaf Blade,リーフブレード,刀叶,The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily..,用刃叶切割对方容易击中要害。
52,11,2,Low Sweep,ローキック,低空踢,"The user makes a swift attack on the target's legs, which lowers the target's Speed stat.",利用迅猛的动作攻击对方的脚部。降低对方的速度。
53,16,2,Magnet Bomb,マグネットボム,磁铁爆弹,The user launches steel bombs that stick to the target.,发射能够追踪对方的钢铁炸弹。攻击必定会命中。
54,2,2,Mega Drain,メガドレイン,百万吨吸收,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target..,吸取对方的养分。攻击造成的一半伤害会转化成自己的HP。
55,1,2,Megahorn,メガホーン,百万吨角击,"Using its tough and impressive horn, the user rams into the target with no letup.",用致命的大角狠狠地突刺对方。
56,9,2,Moonblast,ムーンフォース,月亮攻击,"Borrowing the power of the moon, the user attacks the target.",借用月亮的力量攻击对方，有一定几率降低对方的特殊攻击能力。
57,4,2,Mud Bomb,どろばくだん,泥巴爆弹,The user launches a hard-packed mud ball to attack.,发射坚硬的泥弹攻击对方。有时会降低对方的命中。
58,3,2,Night Slash,つじぎり,街头试刀,The user slashes the target the instant an opportunity arises. Critical hits land more easily..,瞬间瞄准对方盲区攻击。容易击中要害。
59,17,2,Ominous Wind,あやしいかぜ,奇异之风,The user blasts the target with a gust of repulsive wind.,吹出可怕的强风，攻击对方。有时会提升自身的全部能力。
