ID,Pokedex #,Name,PicName,JapaneseName,ChineseName,Height,Weight,TypeID1,TypeID2,Description,ChineseDescription,Locations,ChineseLocations,Category,ChineseCategory,MovesID,EvolvesFromID,EvolvesIntoID
1,#001,Bulbasaur,bulbasaur,フシギダネ,妙蛙种子 ,0.7,6.9,2,10,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.",,TBD,,Seed,,"129,121,131,91,74",,
2,#002,Ivysaur,ivysaur,フシギソウ,妙蛙草 ,1,13,2,10,"There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.",,"Forest,Field,Farm",,Seed,,"129,121,131,91,85",,
3,#003,Venusaur,venusaur,フシギバナ,妙蛙花 ,2,100,2,10,There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,,TBD,,Seed,,"129,121,131,91,61,85",,
4,#004,Charmander,charmander,ヒトカゲ,小火龙 ,0.6,8.5,13,,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",,TBD,,Lizard,,"107,137,123,24,25,32,35,80",,
5,#005,Charmeleon,charmeleon,リザード,火恐龙 ,1.1,19,13,,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",,TBD,,Flame,,"107,137,123,24,25,32,35,80",,
6,#006,Charizard,charizard,リザードン,喷火龙 ,1.7,90.5,13,15,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",,TBD,,Flame,,"107,137,123,124,133,4,24,25,32,35,41,59",,
7,#007,Squirtle,squirtle,ゼニガメ,杰尼龟 ,0.5,9,18,,"Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",,TBD,,Tiny Turtle,,"129,132,7,44,73,96",,
8,#008,Wartortle,wartortle,カメール,卡咪龟 ,1,22.5,18,,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.",,TBD,,Turtle,,"102,134,129,132,7,44,73,96",,
9,#009,Blastoise,blastoise,カメックス,水箭龟 ,1.6,85.5,18,,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,,TBD,,Shellfish,,"102,134,129,132,7,36,44,73,96",,
10,#010,Caterpie,caterpie,キャタピー,绿毛虫 ,0.3,2.9,1,,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",,TBD,,Worm,,"103,129",,
11,#011,Metapod,metapod,トランセル,铁甲蛹 ,0.7,9.9,1,,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,,TBD,,Cocoon,,,,
12,#012,Butterfree,butterfree,バタフリー,巴大蝶 ,1.1,32,1,15,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",,TBD,,Butterfly,,"135,14,59,66",,
13,#013,Weedle,weedle,ビードル,独角虫 ,0.3,3.2,1,10,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,,TBD,,Hairy Bug,,"103,139",,
14,#014,Kakuna,kakuna,コクーン,铁壳蛹 ,0.6,10,1,10,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",,TBD,,Cocoon,,,,
15,#015,Beedrill,beedrill,スピアー,大针蜂 ,1,29.5,1,10,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",,TBD,,Poison Bee,,"117,28,59,88",,
16,#016,Pidgey,pidgey,ポッポ,波波 ,0.3,1.8,8,15,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",,TBD,,Tiny Bird,,"120,129,133,4,43,59,96",,
17,#017,Pidgeotto,pidgeotto,ピジョン,比比鸟 ,1.1,30,8,15,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",,TBD,,Bird,,"120,129,133,4,43,59,96",,
18,#018,Pidgeot,pidgeot,ピジョット,大比鸟 ,1.5,39.5,8,15,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",,TBD,,Bird,,"120,129,133,4,43,59,96",,
19,#019,Rattata,rattata,コラッタ,小拉达 ,0.3,3.5,8,,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",,TBD,,Mouse,,"102,120,128,129,9,46",,
20,#020,Raticate,raticate,ラッタ,拉达 ,0.7,18.5,8,,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",,TBD,,Mouse,,"102,120,128,129,46",,
21,#021,Spearow,spearow,オニスズメ,烈雀 ,0.3,2,8,15,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",,TBD,,Tiny Bird,,"116,2,27,59",,
22,#022,Fearow,fearow,オニドリル,大嘴雀 ,1.2,38,8,15,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,,TBD,,Beak,,"116,2,27,28,59",,
23,#023,Ekans,ekans,アーボ,阿柏蛇 ,2,6.9,10,,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,,TBD,,Snake,,"101,102,139,38,57,63,99",,
24,#024,Arbok,arbok,アーボック,阿柏怪 ,3.5,65,10,,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",,TBD,,Cobra,,"102,137,139,38,57,63,99",,
25,#025,Pikachu,pikachu,ピカチュウ,皮卡丘 ,0.4,6,7,,"Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge.",,TBD,,Mouse,,"120,125,129,130,22,79,88,92,94",,
26,#026,Raichu,raichu,ライチュウ,雷丘 ,0.8,30,7,,"If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest.",,TBD,,Mouse,,"120,130,94",,
27,#027,Sandshrew,sandshrew,サンド,穿山鼠 ,0.6,12,4,,"Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies.",,TBD,,Mouse,,"29,109,139,123,90,20,80",,
28,#028,Sandslash,sandslash,サンドパン,穿山王 ,1,29.5,4,,"Sandslash's body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones.",,TBD,,Mouse,,"29,109,139,123,90,20,80",,
29,#029,Nidoran♀,nidoran-f,ニドラン♀,尼多兰 ,0.4,7,10,,"Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.",,TBD,,Poison Pin,,"102,139,123",,
30,#030,Nidorina,nidorina,ニドリーナ,尼多娜 ,0.8,20,10,,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",,TBD,,Poison Pin,,"102,139,123",,
31,#031,Nidoqueen,nidoqueen,ニドクイン,尼多后 ,1.3,60,10,4,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,,TBD,,Drill,,"139,123,9",,
32,#032,Nidoran♂,nidoran-m,ニドラン♂,尼多朗 ,0.5,9,10,,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice.",,TBD,,Poison Pin,,"116,117,139,42",,
33,#033,Nidorino,nidorino,ニドリーノ,尼多力诺 ,0.9,19.5,10,,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",,TBD,,Poison Pin,,"116,117,139,42",,
